twitter_user_id,bluesky_user_did
25095139,did:plc:3fs2zajjgtpritqlhh5gcqki
4916571857,did:plc:qlagxznhhj72vllz2mh73jvn
94989675,did:plc:uan53wlxeb4rbn64qtgachqj
12583982,did:plc:tdqcjcpkt3sejduwywzw2trd
17196810,did:plc:ycfxurwcbnlqlzy4d2bdvpl5
1.47620963611853E+018,did:plc:bwem54ybygus27svite7h3op
7.09405640498811E+017,did:plc:2wgxqjiwsybl5jqcv7axihq3
2918089872,did:plc:in4jlk7bk6wu4yaororsmdao
97507777,did:plc:hl7xh5yylmxpxmsfdutnputk
1.31847571586031E+018,did:plc:r36o6dg7s6pane7za3gkq7jt
14282793,did:plc:6fkuv7rjwfnhdnu46jwq35z5
36774734,did:plc:e7k7zxdqphxwotnaf26apldx
283426410,did:plc:rzoqflfvsdysq32j7ih6gd72
9.13526424576959E+017,did:plc:fpcbj7z3bcu7qz6teeq4rycd
20113613,did:plc:zg4d2l2gzhdvapfx2s6rykaf
15487804,did:plc:ts7fyeypkotfo3jwawhlfjss
6655612,did:plc:n2szfzmtgu3mpfsvidees4c2
67445077,did:plc:h4i2hpiys7rd5333u5lpc6tv
9.18992476760768E+017,did:plc:dxm7vuwhlsp7gl2bxyra5kve
49779243,did:plc:cdfmpkta7deyhqjkbikv4vcj
15170134,did:plc:bvlwp4mdubr357si7cwulkhh
17124073,did:plc:zssb4cxhr4w7f2upwygjmaee
25890562,did:plc:jjjpby6ff2uy7rlxxouhmrfp
91243583,did:plc:pnwr4mspcsllam4vtrm7ezib
190067197,did:plc:7eofybfjce37hculengfwiwe
16049909,did:plc:xinwoyajyptucfgu5p6jmjjw
23797579,did:plc:ypltukr4zijtddx6sskoisgs
255724982,did:plc:apysevpfko7bhpxyd6l56iqv
165511377,did:plc:uvnsaojku6unlw3zuhyt4lzp
15447522,did:plc:m2xy2cgww4hvks4vu3gjufzl
9550352,did:plc:vcwm64x6kyej6yz4cpemuch6
15978412,did:plc:nx2hxdrsv3mivqwwvkq7xlqx
48544368,did:plc:65qiwr52dmzqu6dpwah7kftl
7120172,did:plc:lzfexurnnb6au6ypjs7djg44
778057,did:plc:rbnonayr4sau6mm2yqt447wj
418,did:plc:ww5jktqqydc4jbuykx3sdkzc
105966714,did:plc:xqbbs34shcevzm326a4rvftn
5373182,did:plc:crqni5dmmialigd5eutwbp24
1606496972,did:plc:w3l5eytbpvrqsaagg3z3n4or
94401193,did:plc:7kjfajnyljidr444i5u525mf
25974152,did:plc:fd674qbbvvb4oqotqfm52vwv
16302665,did:plc:scmhi7r7jz6bbwlywpnp5vsk
3072098509,did:plc:al474m2wxdgnvvlghhlwqehs
7.22117494899679E+017,did:plc:k4hbmlkmvgguglbtqq2q552d
17200003,did:plc:vzr7b2xn32h7zpt26lf23ek3
16130619,did:plc:ae4qhzzgasi53dz5knicl4a4
165798058,did:plc:fzti7xp7vy43jk7wffeio636
1398759560,did:plc:x6ldd7phtshkzcc2zulk6swi
29635363,did:plc:cjsvngmb2vz6cgsqfu3ebmbj
5515452,did:plc:m53l4uve3nz5fjx646kmotwb
1.25027721967231E+018,did:plc:lizd43tepuwfwl3n4kexihwl
20398450,did:plc:2lwdnmh3l7zslksp5mamg432
7.0585020047301E+017,did:plc:4uxkj4km7gifvjdddekt5akf
57499512,did:plc:6bamekdvos2x3s2s6wbtgzcj
7.42453163098296E+017,did:plc:vlstguhnkehdxnyinj4hxlm2
637327317,did:plc:ylfu4f4oxg2nhxuvlka7nozt
7.43836563302421E+017,did:plc:qpwqyr7hpaw2abkhak2ur77o
920491754,did:plc:sxttw4f3ket2uyrrtc5ou4n2
1214528593,did:plc:hvve5fezjuf3zlax5gsrhmaz
182675886,did:plc:7nyt6cyhxcvp4cxcplogg5bg
420100653,did:plc:dbtddtivf65uo3vsy7xowtjm
20799280,did:plc:2gq74q25wxvtfd34zfknnalc
17220917,did:plc:qjzrpzlcmir3bkss4b5nh6ox
357916553,did:plc:jtzxnbwxwbywld23yvnyokzf
27538740,did:plc:h5ipn66nwhss44ni2xthtok6
7.82886223656329E+017,did:plc:i32kfb6t33tgpbfekaml35dc
63826562,did:plc:fukey2sryiz53sqvu2wiuba6
21817966,did:plc:mk67tylccetldy2a5dckpceg
17797084,did:plc:eomy4yba2isurn52ti33zkad
100818837,did:plc:fsthtduh7untnzpwopug32rx
17756081,did:plc:evgc4ukadedre3gwsiwygkpz
2788547730,did:plc:3lgg6t5pvc6t3x7osffiz2cp
221320190,did:plc:25cirq6nartlrvxgia543yj7
106228835,did:plc:zo2vffvtrgx7oeckt4zbibw6
14782218,did:plc:7q4kgsd6zxvysmt4fubggsmv
20351960,did:plc:pejtftdthj6oydcrpgfklhyu
19026735,did:plc:hwb7xa7tn2li2ozdijlw3w7h
16129360,did:plc:kfaxgen4pxdnmtho7tj4tijr
7824172,did:plc:odeus4f2fcfxwdnnnfxwatwl
14742251,did:plc:ofq24qvbzrs2rpr4whylpsxb
2768346873,did:plc:2qwpeisxhznwdjfylihurdp4
19406163,did:plc:5dntkpjyy66umfcksuze3vtm
324780216,did:plc:hzqbe4qv3dknhqj72rt5t2s3
56070554,did:plc:zn7m26drzawvapjihzufb7m7
23314192,did:plc:5wumfhlqk5kuhpjkcftaplbg
102566376,did:plc:37okxnycz5vpkukkvp6wvsaq
703220160,did:plc:3c62d5hxp55rn76xwzazpgwx
6740502,did:plc:tohbgib7cta7k2suifm2mfca
1730703458,did:plc:6da46v7qasijhf2baetbstrn
305928252,did:plc:dtgvl6emzvcnsswwaaa4h4jb
610873,did:plc:dm6po2tazbb6svnt4rwuc3tc
99401353,did:plc:vgu6bu72nbg4vyufuon5mdfv
149402723,did:plc:6lydbdtbcwdyx52vboc42gya
1.12366794022891E+018,did:plc:wqlfkttarslb7heevxdcxr5z
17852894,did:plc:u4c7fiqyke3472njpjgyf25q
18489148,did:plc:evb5uonxljuqhlowrvavl2we
6878632,did:plc:5bkxybwso5a4r5i266b2kvr7
111490230,did:plc:vdabazxnghujbebpi2ektqgi
195009699,did:plc:cgaht2p7xfujbi4fopgxozux
94944176,did:plc:rsadtnczf3rzxk7ldzsgmgpt
80921082,did:plc:rr67nxlydsgw7gwws56bnp6y
7.02586433186329E+017,did:plc:y4i27icvauiqpn6lwzleta6m
21633141,did:plc:u2mtcxqp7uzcg5xikrwexoc6
27182288,did:plc:lqgkvakfw4p2ivibhljk5epu
90406601,did:plc:t4nks3bv6zytddqnjvfwbcuz
163467714,did:plc:k56mxolokz72aud66cjnbc7y
140822682,did:plc:rkh7osn7mdsuvo4znldmvb4x
8.85564911979508E+017,did:plc:fpz5m6bh6vddhwqztnldey5z
15121219,did:plc:wovz3whdkughp6decczypkqq
6754922,did:plc:vjenhfwnqbddlicspafnbjht
112610515,did:plc:565ebob5f6hw33hjdkxty6qj
366222792,did:plc:c3pa7lzzwzr4h4sbcpdsrfxt
14943734,did:plc:yckf47lcsg74nvdrsbcqypst
288934235,did:plc:vccnpnwekxlzegsmm7dy3jq5
255554825,did:plc:ldznw4mcxo6n5fdkaokanemm
88074587,did:plc:inqursdlafmzmv4h6dfd6w6l
1.07203967282049E+018,did:plc:hk4cc4ctfezqcfjksqejgs5o
1.34775902391601E+018,did:plc:hk4cc4ctfezqcfjksqejgs5o
985619029,did:plc:boasbu24tyevdoox4vw3qooc
53789489,did:plc:wugvtfq5dkllq4ks2ua5ricb
29819203,did:plc:mvuk5qvagm4ljx3lwj4vmb6v
160970683,did:plc:7iiiufou3hi2ea3uhn7opym4
195409453,did:plc:ga57xw5qfznpachon7pw6ybo
601147549,did:plc:3bm6kdqanmpvustc3b4aujhc
79540413,did:plc:f3n3mllx2qrqf67juh276zpd
17780992,did:plc:4xex6sya2r2gcpwibkl7fabd
133022410,did:plc:edstd3skq4emsg3u53tnk4k3
902837072,did:plc:hqumypokur5b3sh7ktvyl64l
16163126,did:plc:z42j2hqb2gzj6cjp5ea7oiej
216735143,did:plc:cz3pwizwryzgyuwzjdz4jb4b
5943072,did:plc:qseeyc6iouxteuvcauidio7j
1.29519383725873E+018,did:plc:zru6azc72bppmmgrzyd7q7kg
2962285217,did:plc:cp5tfdiovtpj7j7siwu6i36a
18849368,did:plc:s3vspzg2vjaoykcprmulmq5j
855524894,did:plc:kyghfqt6vadvbbqbu4k5avci
14897792,did:plc:y6iikj3lebwl7k5cyi2fbahv
529148230,did:plc:2wco2e2ybeg2lwpfx3kqjsuv
13260322,did:plc:73klm6kuw5gaxokafhxha2vo
27900691,did:plc:q3eks7ukvdff64atviwlutl5
2353721935,did:plc:ijwpzn3ghv7tuptxv5kdgu5d
15839206,did:plc:ekngkuszdnhqeqgcj7lic4te
15990207,did:plc:rsehvrxo7z24rw2lmm6gkbhk
138559532,did:plc:ibwkjuyuhsypsvbvfoe3jkap
104954985,did:plc:3xe7h5mfme5cx4obuzqxwlrv
7.64132053042532E+017,did:plc:nmv6s6zzpqwuavbrnprhycf3
424141390,did:plc:mqrdswj4kpcyastaqd2a2acv
242368265,did:plc:csaedsooeegd6dclxmuhnxux
13983912,did:plc:r3snvxjdij6cmko7zw37byay
12762142,did:plc:ob2h2jvpnc6ovzwdenv4cghm
61061669,did:plc:i53blsep5u3be74cppe375pg
68676047,did:plc:atdbmignbrjbjgj2ba4axnwl
1.15999134788718E+018,did:plc:tjqlsrsls5tmqft27fs2m5zh
749333,did:plc:ss5ou6bkfyppem3azhlfsv2t
